"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 20 00:44:33 IST 2021","Thu May 20 00:44:36 IST 2021","3031","testcases","test_pytest_1","Test_URL_Chrome","","","test_lambdatest_load",""
"passed","Thu May 20 00:44:27 IST 2021","Thu May 20 00:44:27 IST 2021","376","restapi","test_api","","","","test_updateUserAPI",""
"passed","Thu May 20 00:44:36 IST 2021","Thu May 20 00:44:36 IST 2021","100","testcases","test_pytest_1","Test_URL_Chrome","","","test_API","STATUS CODE:200 || 12 || Rachel"
"passed","Thu May 20 00:44:41 IST 2021","Thu May 20 00:44:44 IST 2021","3241","testcases","test_pytest_2","Test_URL_Firefox","","","test_google_search",""
"passed","Thu May 20 00:44:26 IST 2021","Thu May 20 00:44:26 IST 2021","95","restapi","test_api","","","","test_getSingleUsrAPI",""
"passed","Thu May 20 00:44:27 IST 2021","Thu May 20 00:44:28 IST 2021","795","restapi","test_api","","","","test_insertUserAPI","Entred ID and Token for Login method"
"passed","Thu May 20 00:44:26 IST 2021","Thu May 20 00:44:26 IST 2021","110","restapi","test_api","","","","test_getUsersapi","STATUS CODE:200 || 12 || Rachel"
"passed","Thu May 20 00:44:26 IST 2021","Thu May 20 00:44:27 IST 2021","421","restapi","test_api","","","","test_addUserAPI",""
"passed","Thu May 20 00:44:44 IST 2021","Thu May 20 00:44:50 IST 2021","6021","testcases","test_pytest_2","Test_URL_Firefox","","","test_lambdatest_blog_load",""
"passed","Thu May 20 00:44:29 IST 2021","Thu May 20 00:44:32 IST 2021","3252","testcases","test_pytest_1","Test_URL_Chrome","","","test_lambdatest_todo_app",""
